"new_id","old_id","kind","title","old_relative_path","new_relative_path","migration_status","evidence_level"
"STRAT-20260603T000000Z-mig-ETF67741","ETF双池动量轮动","strategy","ETF双池动量轮动","🏷️ 策略\ETF双池动量轮动.md","03_策略档案\STRAT-20260603T000000Z-mig-ETF67741_ETF双池动量轮动.md","migrated_unverified","legacy_raw"
"STRAT-20260603T000000Z-mig-R2ETF1108E","R2 ETF动量轮动","strategy","R2 ETF动量轮动","🏷️ 策略\R2 ETF动量轮动.md","03_策略档案\STRAT-20260603T000000Z-mig-R2ETF1108E_R2ETF动量轮动.md","migrated_unverified","legacy_raw"
"STRAT-20260603T000000Z-mig-TFCB1F","动量趋势日内做T","strategy","动量趋势日内做T","🏷️ 策略\动量趋势日内做T.md","03_策略档案\STRAT-20260603T000000Z-mig-TFCB1F_动量趋势日内做T.md","migrated_unverified","legacy_raw"
"STRAT-20260603T000000Z-mig-ETFB0BED","七星动量阴跌防守ETF轮动","strategy","七星动量阴跌防守ETF轮动","🏷️ 策略\七星动量阴跌防守ETF轮动.md","03_策略档案\STRAT-20260603T000000Z-mig-ETFB0BED_七星动量阴跌防守ETF轮动.md","migrated_unverified","legacy_raw"
"IDEA-20260521T000000Z-mig-I202605210017AD87","I20260521-001","idea","I20260521-001 ETF趋势确认与防守切换","💡 想法\2026-05-21\I20260521-001_ETF趋势确认与防守切换.md","07_因子数据灵感\04_模块\IDEA-20260521T000000Z-mig-I202605210017AD87_I20260521-001ETF趋势确认与防守切换.md","migrated_unverified","legacy_raw"
"IDEA-20260521T000000Z-mig-I2026052100344BFD","I20260521-003","idea","I20260521-003 动量崩盘预警","💡 想法\2026-05-21\I20260521-003_动量崩盘预警.md","07_因子数据灵感\04_模块\IDEA-20260521T000000Z-mig-I2026052100344BFD_I20260521-003动量崩盘预警.md","migrated_unverified","legacy_raw"
"IDEA-20260521T000000Z-mig-I2026052100803308","I20260521-008","idea","I20260521-008 价值动量互补组合","💡 想法\2026-05-21\I20260521-008_价值动量互补组合.md","07_因子数据灵感\04_模块\IDEA-20260521T000000Z-mig-I2026052100803308_I20260521-008价值动量互补组合.md","migrated_unverified","legacy_raw"
"IDEA-20260522T000000Z-mig-I20260522001E80C3","I20260522-001","idea","I20260522-001 市场状态识别与切换门控","💡 想法\2026-05-22\I20260522-001_市场状态识别与切换门控.md","07_因子数据灵感\04_模块\IDEA-20260522T000000Z-mig-I20260522001E80C3_I20260522-001市场状态识别与切换门控.md","migrated_unverified","legacy_raw"
"IDEA-20260523T000000Z-mig-I20260523007F8622","I20260523-007","idea","I20260523-007 机器学习因子评分与非线性组合","💡 想法\2026-05-23\I20260523-007_机器学习因子评分与非线性组合.md","07_因子数据灵感\04_模块\IDEA-20260523T000000Z-mig-I20260523007F8622_I20260523-007机器学习因子评分与非线性组合.md","migrated_unverified","legacy_raw"
"IDEA-20260529T000000Z-mig-I2026052900393F1F","I20260529-003","idea","I20260529-003 ETF阴跌防守切换","💡 想法\2026-05-29\I20260529-003_ETF阴跌防守切换.md","07_因子数据灵感\04_模块\IDEA-20260529T000000Z-mig-I2026052900393F1F_I20260529-003ETF阴跌防守切换.md","migrated_unverified","legacy_raw"
"IDEA-20260529T000000Z-mig-I20260529004B2C61","I20260529-004","idea","I20260529-004 均线排列动量质量因子","💡 想法\2026-05-29\I20260529-004_均线排列动量质量因子.md","07_因子数据灵感\04_模块\IDEA-20260529T000000Z-mig-I20260529004B2C61_I20260529-004均线排列动量质量因子.md","migrated_unverified","legacy_raw"
