"strategy_id","name","status","research_rd_id","platform_strategy_paths","platform_config_paths","platform_result_paths","file","created_at_utc","updated_at_utc","next_action"
"STRAT-20260605T115651Z-main-DP00","双池轮动策略","active","RD-20260605T115651Z-main-DP00","${LEGACY_QUANT_PLATFORM_ROOT}\src\strategies\etf_momentum_rotation.py;${LEGACY_QUANT_PLATFORM_ROOT}\src\strategies\research\etf_dual_pool_all_weather_bear_defense.py;${LEGACY_QUANT_PLATFORM_ROOT}\src\strategies\research\etf_dual_pool_all_weather_bear_defense_soft.py;${LEGACY_QUANT_PLATFORM_ROOT}\src\strategies\research\etf_dual_pool_a_share_bear_defense.py","${LEGACY_QUANT_PLATFORM_ROOT}\configs\v2_migrate_etf_dual_pool_momentum_20200101_20260519.json;${LEGACY_QUANT_PLATFORM_ROOT}\configs\v2_migrate_etf_dual_pool_momentum_smoke.json;${LEGACY_QUANT_PLATFORM_ROOT}\configs\v2_migrate_etf_dual_pool_all_weather_bear_defense_20200101_20260519.json","${LEGACY_QUANT_PLATFORM_ROOT}\results\v2\research\R010-B5;${LEGACY_QUANT_PLATFORM_ROOT}\results\v2\research\R010-C","03_策略档案/STRAT-20260605T115651Z-main-DP00_双池轮动策略档案.md","2026-06-05T11:56:51Z","2026-07-18T08:48:00Z","历史资产仅作证据；先迁移为V2原生策略并建立受控入口，再开展新实验"
"STRAT-20260603T000000Z-mig-ETF67741","ETF双池动量轮动","migrated_unverified","","","","","03_策略档案/STRAT-20260603T000000Z-mig-ETF67741_ETF双池动量轮动.md","2026-06-05T12:00:00Z","2026-06-05T12:00:00Z","复核平台代码、配置和结果路径"
"STRAT-20260603T000000Z-mig-R2ETF1108E","R2 ETF动量轮动","migrated_unverified","","","","","03_策略档案/STRAT-20260603T000000Z-mig-R2ETF1108E_R2ETF动量轮动.md","2026-06-05T12:00:00Z","2026-06-05T12:00:00Z","复核平台代码、配置和结果路径"
"STRAT-20260603T000000Z-mig-TFCB1F","动量趋势日内做T","migrated_unverified","","","","","03_策略档案/STRAT-20260603T000000Z-mig-TFCB1F_动量趋势日内做T.md","2026-06-05T12:00:00Z","2026-06-05T12:00:00Z","复核平台代码、配置和结果路径"
"STRAT-20260701T034401Z-main-YDL6","V科技队科技股动量轮动策略档案","observe","RD-20260701T033937Z-main-HTGA","${LEGACY_QUANT_PLATFORM_ROOT}/src/strategies/research/v_tech_momentum_jq.py","${LEGACY_QUANT_PLATFORM_ROOT}/configs/research/RD-20260701T033937Z-main-HTGA/EX-20260701T033946Z-main-MUG3/vtech_smoke.json;${LEGACY_QUANT_PLATFORM_ROOT}/configs/research/RD-20260701T033937Z-main-HTGA/EX-20260701T035651Z-main-BMB4/;${LEGACY_QUANT_PLATFORM_ROOT}/configs/research/RD-20260701T033937Z-main-HTGA/EX-20260701T044905Z-main-MSMK/vtech_original_9db_2026_window.json;${LEGACY_QUANT_PLATFORM_ROOT}/configs/research/RD-20260701T033937Z-main-HTGA/EX-20260701T050820Z-main-QL89/vtech_9db_rebalance_11_2026_window.json","${LEGACY_QUANT_PLATFORM_ROOT}/results/v2/research/RD-20260701T033937Z-main-HTGA/;${LEGACY_QUANT_PLATFORM_ROOT}/results/v2/research/RD-20260701T033937Z-main-HTGA/EX-20260701T044905Z-main-MSMK/original_9db_2026_window/065c53decb2b4b75bf26907edd7bc83b/;${LEGACY_QUANT_PLATFORM_ROOT}/results/v2/research/RD-20260701T033937Z-main-HTGA/EX-20260701T050820Z-main-QL89/rebalance_11_2026_window/2624cd3b619241fdbc95a04b70bd981d/","03_策略档案/STRAT-20260701T034401Z-main-YDL6_V科技队科技股动量轮动策略档案.md","2026-07-01T03:44:01Z","2026-07-18T08:48:00Z","研究结论保留；现有资产仅为V1.4历史证据，V2迁移前禁止复跑、调参或实盘化。"
"STRAT-20260603T000000Z-mig-ETFB0BED","七星动量阴跌防守ETF轮动","migrated_unverified","","","","","03_策略档案/STRAT-20260603T000000Z-mig-ETFB0BED_七星动量阴跌防守ETF轮动.md","2026-06-05T12:00:00Z","2026-06-05T12:00:00Z","复核平台代码、配置和结果路径"
"STRAT-20260603T000000Z-mig-TF8F01","小市值日内做T","active","RD-20260603T000000Z-mig-HD5EEBAA8D5EEB","${LEGACY_QUANT_PLATFORM_ROOT}/scripts/research/backtest_public_micro_lowprice_rotation.py;${LEGACY_QUANT_PLATFORM_ROOT}/scripts/research/audit_public_micro_minute_execution.py","${LEGACY_QUANT_PLATFORM_ROOT}/configs/research/RD-20260603T000000Z-mig-HD5EEBAA8D5EEB/EX-20260607T073711Z-main-WS6K/public_micro_lowprice_rotation.json","${LEGACY_QUANT_PLATFORM_ROOT}/results/v2/research/RD-20260603T000000Z-mig-HD5EEBAA8D5EEB/EX-20260607T073711Z-main-WS6K/;${LEGACY_QUANT_PLATFORM_ROOT}/results/v2/research/RD-20260603T000000Z-mig-HD5EEBAA8D5EEB/EX-20260607T062555Z-main-VJDG/","03_策略档案/STRAT-20260603T000000Z-mig-TF8F01_小市值日内做T.md","2026-06-05T12:00:00Z","2026-07-18T08:48:00Z","现有脚本与结果仅为V1.4历史证据；迁移到V2并重新门禁后再继续容量研究"
"STRAT-20260603T000000Z-mig-H486C4036486C4","涨停事件价量结构策略","migrated_unverified","","","","","03_策略档案/STRAT-20260603T000000Z-mig-H486C4036486C4_涨停事件价量结构策略.md","2026-06-05T12:00:00Z","2026-06-05T12:00:00Z","复核平台代码、配置和结果路径"
"STRAT-20260702T081500Z-main-J1ENV","ETF环境温度策略（J1实盘候选）","promote_candidate","","${LEGACY_QUANT_PLATFORM_ROOT}/src/strategies/research/etf_env_temp_strategy.py","${LEGACY_QUANT_PLATFORM_ROOT}/configs/research/R010-A11/env_temperature/formal/seg1_2021_2022.json;${LEGACY_QUANT_PLATFORM_ROOT}/configs/research/R010-A11/env_temperature/formal/seg2_2023.json;${LEGACY_QUANT_PLATFORM_ROOT}/configs/research/R010-A11/env_temperature/formal/seg3_2024.json;${LEGACY_QUANT_PLATFORM_ROOT}/configs/research/R010-A11/env_temperature/formal/seg4_2025_20260630.json","${LEGACY_QUANT_PLATFORM_ROOT}/results/v2/research/R010-A11/env_temperature","03_策略档案/STRAT-20260702T081500Z-main-J1ENV_ETF环境温度策略J1实盘候选.md","2026-07-02T08:15:00Z","2026-07-18T08:48:00Z","历史研究评级保留；当前资产仅为V1.4证据，V2迁移与复核前禁止dry-run、shadow和实盘"
"STRAT-20260716T134301Z-codex-W5R2","五福V5.2原生复现策略","active","RD-20260707T135354Z-main-WUFU","${QUANT_PLATFORM_ROOT}/src/quant_n3/strategies/wufu/strategy.py;${QUANT_PLATFORM_ROOT}/src/quant_n3/strategies/wufu/run.py;${QUANT_PLATFORM_ROOT}/src/quant_n3/strategies/wufu/wvuv.py","${QUANT_PLATFORM_ROOT}/configs/data_routing.json","${QUANT_PLATFORM_ROOT}/聚宽策略/五福V5.2/25-26/position.csv;${QUANT_PLATFORM_ROOT}/results/wufu_v52/research/RD-20260707T135354Z-main-WUFU/EX-20260718T075832Z-codex-WVUV/","03_策略档案/STRAT-20260716T134301Z-codex-W5R2_五福V52原生复现策略档案.md","2026-07-16T13:43:01Z","2026-07-18T11:55:51Z","WVUV随机负控与容量失败；immediate+5%仍为权威默认，staged 25% park且禁止实盘升级"
"STRAT-20260730T122752Z-main-CR2U","五福V6实盘冻结基线策略","active","RD-20260707T135354Z-main-WUFU","${LIVE_TRADING_ROOT}/platform-release/src/quant_n3/strategies/wufu/strategy.py;${LIVE_TRADING_ROOT}/platform-release/src/quant_n3/strategies/wufu/run.py","${LIVE_TRADING_ROOT}/config/instance.json;${LIVE_TRADING_ROOT}/config/artifacts/wufu-staged20-recheck20-both-up-delay5-2020-20260717.json","${LIVE_TRADING_ROOT}/config/artifacts/wufu-staged20-recheck20-both-up-delay5-2020-20260717.json;${QUANT_PLATFORM_ROOT}/results/wufu_v52/research/RD-20260707T135354Z-main-WUFU/EX-20260803T040325Z-main-W4BY/;${QUANT_PLATFORM_ROOT}/results/wufu_v52/research/RD-20260707T135354Z-main-WUFU/EX-20260803T113822Z-main-J8TU/;${QUANT_PLATFORM_ROOT}/results/wufu_v52/research/RD-20260707T135354Z-main-WUFU/EX-20260803T133531Z-main-X6LP/;${QUANT_PLATFORM_ROOT}/results/wufu_v52/research/RD-20260707T135354Z-main-WUFU/EX-20260803T140458Z-main-E8NR/;${QUANT_PLATFORM_ROOT}/results/wufu_v52/research/RD-20260707T135354Z-main-WUFU/EX-20260804T082635Z-main-EZZW/;${QUANT_PLATFORM_ROOT}/results/wufu_v52/research/RD-20260707T135354Z-main-WUFU/EX-20260804T110858Z-main-2F8P/;${QUANT_PLATFORM_ROOT}/results/wufu_v52/research/RD-20260707T135354Z-main-WUFU/EX-20260804T135620Z-main-3HEE/;${QUANT_PLATFORM_ROOT}/results/wufu_v52/research/RD-20260707T135354Z-main-WUFU/EX-20260804T151212Z-main-XS8V/;${QUANT_PLATFORM_ROOT}/results/wufu_v52/research/RD-20260707T135354Z-main-WUFU/EX-20260804T152931Z-main-KDU2/;${QUANT_PLATFORM_ROOT}/results/wufu_v52/research/RD-20260707T135354Z-main-WUFU/EX-20260805T022706Z-main-SLUY/","03_策略档案/STRAT-20260730T122752Z-main-CR2U_五福V6实盘冻结基线策略档案.md","2026-07-30T12:27:52Z","2026-08-05T04:12:13Z","20下跌复核模块和13:10正式选股保持不变；SLUY关闭13:05保护5/10分钟替代，近期积极结果仅离线观察；只保留非双涨13:09卖与双涨13:15释放候选，不扫参数，实盘不改"
