legacy_direction_id,target_rd_id,confidence,note
R009,RD-20260605T115651Z-main-OFF0,high,平滑上涨软排序（R010-A前身）→进攻模块
R010-A,RD-20260605T115651Z-main-OFF0,high,进攻端市场状态门控/软排序/换仓/容量护栏
R010-A4,RD-20260605T115651Z-main-OFF0,high,进攻端平滑软排序
R010-A5,RD-20260605T115651Z-main-OFF0,high,进攻端A2换仓失败归因
R010-A6,RD-20260605T115651Z-main-OFF0,high,过滤层稀薄防抖
R010-A7,RD-20260605T115651Z-main-OFF0,high,过滤层稀薄替代目标
R010-A8,RD-20260605T115651Z-main-OFF0,high,过滤层稀薄状态分层
R010-A9,RD-20260605T115651Z-main-EXE0,medium,A9系列容量护栏部分含进攻A2换仓延迟；偏执行与换仓
R010-A10,RD-20260605T115651Z-main-EXE0,high,A2换仓延迟确认→执行模块
R010-A11,RD-20260605T133318Z-main-H6V3,high,score大于5硬过滤→过热拥挤机制
R010-A12,RD-20260605T133318Z-main-H6V3,high,顶刊文献启发过热拥挤判别
R010-A13,RD-20260605T133318Z-main-H6V3,high,5到6分风险预算缩放
R010-OVERHEAT,RD-20260605T133318Z-main-H6V3,high,过热拥挤机制收益拖累总审计
R010-B,RD-20260605T115651Z-main-DEF0,high,阴跌防守/分级防守动作/Top5动量准入防守
R010-B2,RD-20260605T115651Z-main-DEF0,high,A2二级观察门控
R010-B3,RD-20260603T000000Z-mig-ETF7D5F7,high,B3Gate强度分层→防守骨架迁移方向
R010-B4,RD-20260603T000000Z-mig-ETF7D5F7,high,B3Gate强度分层TieredV2→防守骨架迁移方向
R010-B5,RD-20260605T115651Z-main-DEF0,high,非线性仓位控制/回撤预算
R010-C,RD-20260605T115651Z-main-DEF0,high,动作启动信号诊断
R010-C1,RD-20260605T115651Z-main-DEF0,high,失速预警日志层
R010-D,RD-20260605T115651Z-main-DEF0,medium,风险层启动方式
R010-E,RD-20260605T115651Z-main-EXE0,medium,条件抗抖
R020,RD-20260605T115651Z-main-CORE,medium,慢性失速/单项只读标签
R020-A,RD-20260605T115651Z-main-CORE,medium,慢性失速只读标签
R020-B,RD-20260605T115651Z-main-CORE,medium,单项只读标签
R026,RD-20260603T000000Z-mig-H95AC6BBA95AC6,high,防守池吸血撤离信号
R026-B,RD-20260603T000000Z-mig-H95AC6BBA95AC6,high,R026B light-cap90离线实验
INTRADAY-EXECUTION,RD-20260605T115651Z-main-EXE0,high,日内成交头重脚轻/VWAP容量冲击/买卖时机
MULTI-STATE-ATTRIBUTION,RD-20260603T000000Z-mig-HD5EEBAA8D5EEB,medium,多策略/ETF族/非ETF/小市值状态归因→小市值T0迁移方向
