"new_id","mig_batch_id","old_id","kind","old_relative_path","new_relative_path","title","migration_status","evidence_level"
"STRAT-20260603T000000Z-mig-ETF67741","MIG-20260605T120000Z-mig-BATCH","ETF双池动量轮动","strategy","🏷️ 策略\ETF双池动量轮动.md","03_策略档案\STRAT-20260603T000000Z-mig-ETF67741_ETF双池动量轮动.md","ETF双池动量轮动","migrated_unverified","legacy_raw"
"STRAT-20260603T000000Z-mig-R2ETF1108E","MIG-20260605T120000Z-mig-BATCH","R2 ETF动量轮动","strategy","🏷️ 策略\R2 ETF动量轮动.md","03_策略档案\STRAT-20260603T000000Z-mig-R2ETF1108E_R2ETF动量轮动.md","R2 ETF动量轮动","migrated_unverified","legacy_raw"
"STRAT-20260603T000000Z-mig-TFCB1F","MIG-20260605T120000Z-mig-BATCH","动量趋势日内做T","strategy","🏷️ 策略\动量趋势日内做T.md","03_策略档案\STRAT-20260603T000000Z-mig-TFCB1F_动量趋势日内做T.md","动量趋势日内做T","migrated_unverified","legacy_raw"
"STRAT-20260603T000000Z-mig-ETFB0BED","MIG-20260605T120000Z-mig-BATCH","七星动量阴跌防守ETF轮动","strategy","🏷️ 策略\七星动量阴跌防守ETF轮动.md","03_策略档案\STRAT-20260603T000000Z-mig-ETFB0BED_七星动量阴跌防守ETF轮动.md","七星动量阴跌防守ETF轮动","migrated_unverified","legacy_raw"
"STRAT-20260603T000000Z-mig-TF8F01","MIG-20260605T120000Z-mig-BATCH","小市值日内做T","strategy","🏷️ 策略\小市值日内做T.md","03_策略档案\STRAT-20260603T000000Z-mig-TF8F01_小市值日内做T.md","小市值日内做T","migrated_unverified","legacy_raw"
"STRAT-20260603T000000Z-mig-H486C4036486C4","MIG-20260605T120000Z-mig-BATCH","涨停事件价量结构策略","strategy","🏷️ 策略\涨停事件价量结构策略.md","03_策略档案\STRAT-20260603T000000Z-mig-H486C4036486C4_涨停事件价量结构策略.md","涨停事件价量结构策略","migrated_unverified","legacy_raw"
"IDEA-20260521T000000Z-mig-I202605210017AD87","MIG-20260605T120000Z-mig-BATCH","I20260521-001","idea","💡 想法\2026-05-21\I20260521-001_ETF趋势确认与防守切换.md","07_因子数据灵感\04_模块\IDEA-20260521T000000Z-mig-I202605210017AD87_I20260521-001ETF趋势确认与防守切换.md","I20260521-001 ETF趋势确认与防守切换","migrated_unverified","legacy_raw"
"IDEA-20260521T000000Z-mig-I2026052100202D40","MIG-20260605T120000Z-mig-BATCH","I20260521-002","idea","💡 想法\2026-05-21\I20260521-002_波动率缩放仓位.md","07_因子数据灵感\04_模块\IDEA-20260521T000000Z-mig-I2026052100202D40_I20260521-002波动率缩放仓位.md","I20260521-002 波动率缩放仓位","migrated_unverified","legacy_raw"
"IDEA-20260521T000000Z-mig-I2026052100344BFD","MIG-20260605T120000Z-mig-BATCH","I20260521-003","idea","💡 想法\2026-05-21\I20260521-003_动量崩盘预警.md","07_因子数据灵感\04_模块\IDEA-20260521T000000Z-mig-I2026052100344BFD_I20260521-003动量崩盘预警.md","I20260521-003 动量崩盘预警","migrated_unverified","legacy_raw"
"IDEA-20260521T000000Z-mig-I202605210042E5A5","MIG-20260605T120000Z-mig-BATCH","I20260521-004","idea","💡 想法\2026-05-21\I20260521-004_质量盈利过滤.md","07_因子数据灵感\04_模块\IDEA-20260521T000000Z-mig-I202605210042E5A5_I20260521-004质量盈利过滤.md","I20260521-004 质量盈利过滤","migrated_unverified","legacy_raw"
"IDEA-20260521T000000Z-mig-I2026052100589A79","MIG-20260605T120000Z-mig-BATCH","I20260521-005","idea","💡 想法\2026-05-21\I20260521-005_低波低贝塔风控增强.md","07_因子数据灵感\04_模块\IDEA-20260521T000000Z-mig-I2026052100589A79_I20260521-005低波低贝塔风控增强.md","I20260521-005 低波低贝塔风控增强","migrated_unverified","legacy_raw"
"IDEA-20260521T000000Z-mig-I2026052100654E91","MIG-20260605T120000Z-mig-BATCH","I20260521-006","idea","💡 想法\2026-05-21\I20260521-006_1N与TopN权重基准.md","07_因子数据灵感\04_模块\IDEA-20260521T000000Z-mig-I2026052100654E91_I20260521-0061N与TopN权重基准.md","I20260521-006 1N与TopN权重基准","migrated_unverified","legacy_raw"
"IDEA-20260521T000000Z-mig-I2026052100794030","MIG-20260605T120000Z-mig-BATCH","I20260521-007","idea","💡 想法\2026-05-21\I20260521-007.md","07_因子数据灵感\04_模块\IDEA-20260521T000000Z-mig-I2026052100794030_I20260521-007.md","I20260521-007","migrated_unverified","legacy_raw"
"IDEA-20260521T000000Z-mig-I2026052100803308","MIG-20260605T120000Z-mig-BATCH","I20260521-008","idea","💡 想法\2026-05-21\I20260521-008_价值动量互补组合.md","07_因子数据灵感\04_模块\IDEA-20260521T000000Z-mig-I2026052100803308_I20260521-008价值动量互补组合.md","I20260521-008 价值动量互补组合","migrated_unverified","legacy_raw"
"IDEA-20260521T000000Z-mig-I2026052100982587","MIG-20260605T120000Z-mig-BATCH","I20260521-009","idea","💡 想法\2026-05-21\I20260521-009_投资保守性过滤.md","07_因子数据灵感\04_模块\IDEA-20260521T000000Z-mig-I2026052100982587_I20260521-009投资保守性过滤.md","I20260521-009 投资保守性过滤","migrated_unverified","legacy_raw"
"IDEA-20260521T000000Z-mig-I2026052101003945","MIG-20260605T120000Z-mig-BATCH","I20260521-010","idea","💡 想法\2026-05-21\I20260521-010_因子发现门槛与多重检验.md","07_因子数据灵感\04_模块\IDEA-20260521T000000Z-mig-I2026052101003945_I20260521-010因子发现门槛与多重检验.md","I20260521-010 因子发现门槛与多重检验","migrated_unverified","legacy_raw"
"IDEA-20260522T000000Z-mig-I20260522001E80C3","MIG-20260605T120000Z-mig-BATCH","I20260522-001","idea","💡 想法\2026-05-22\I20260522-001_市场状态识别与切换门控.md","07_因子数据灵感\04_模块\IDEA-20260522T000000Z-mig-I20260522001E80C3_I20260522-001市场状态识别与切换门控.md","I20260522-001 市场状态识别与切换门控","migrated_unverified","legacy_raw"
"IDEA-20260523T000000Z-mig-I20260523001138B8","MIG-20260605T120000Z-mig-BATCH","I20260523-001","idea","💡 想法\2026-05-23\I20260523-001_多策略风险预算与组合层.md","07_因子数据灵感\04_模块\IDEA-20260523T000000Z-mig-I20260523001138B8_I20260523-001多策略风险预算与组合层.md","I20260523-001 多策略风险预算与组合层","migrated_unverified","legacy_raw"
"IDEA-20260523T000000Z-mig-I202605230028E5D0","MIG-20260605T120000Z-mig-BATCH","I20260523-002","idea","💡 想法\2026-05-23\I20260523-002_波动率择时与动态风险预算.md","07_因子数据灵感\04_模块\IDEA-20260523T000000Z-mig-I202605230028E5D0_I20260523-002波动率择时与动态风险预算.md","I20260523-002 波动率择时与动态风险预算","migrated_unverified","legacy_raw"
"IDEA-20260523T000000Z-mig-I20260523003B7068","MIG-20260605T120000Z-mig-BATCH","I20260523-003","idea","💡 想法\2026-05-23\I20260523-003_参数化组合权重策略.md","07_因子数据灵感\04_模块\IDEA-20260523T000000Z-mig-I20260523003B7068_I20260523-003参数化组合权重策略.md","I20260523-003 参数化组合权重策略","migrated_unverified","legacy_raw"
"IDEA-20260523T000000Z-mig-I2026052300428FD5","MIG-20260605T120000Z-mig-BATCH","I20260523-004","idea","💡 想法\2026-05-23\I20260523-004_尾部风险与波动风险溢价预警.md","07_因子数据灵感\04_模块\IDEA-20260523T000000Z-mig-I2026052300428FD5_I20260523-004尾部风险与波动风险溢价预警.md","I20260523-004 尾部风险与波动风险溢价预警","migrated_unverified","legacy_raw"
"IDEA-20260523T000000Z-mig-I20260523005D3B74","MIG-20260605T120000Z-mig-BATCH","I20260523-005","idea","💡 想法\2026-05-23\I20260523-005_因子稳健性与失效监控.md","07_因子数据灵感\04_模块\IDEA-20260523T000000Z-mig-I20260523005D3B74_I20260523-005因子稳健性与失效监控.md","I20260523-005 因子稳健性与失效监控","migrated_unverified","legacy_raw"
"IDEA-20260523T000000Z-mig-I20260523006CDB24","MIG-20260605T120000Z-mig-BATCH","I20260523-006","idea","💡 想法\2026-05-23\I20260523-006_特征协方差风险模型.md","07_因子数据灵感\04_模块\IDEA-20260523T000000Z-mig-I20260523006CDB24_I20260523-006特征协方差风险模型.md","I20260523-006 特征协方差风险模型","migrated_unverified","legacy_raw"
"IDEA-20260523T000000Z-mig-I20260523007F8622","MIG-20260605T120000Z-mig-BATCH","I20260523-007","idea","💡 想法\2026-05-23\I20260523-007_机器学习因子评分与非线性组合.md","07_因子数据灵感\04_模块\IDEA-20260523T000000Z-mig-I20260523007F8622_I20260523-007机器学习因子评分与非线性组合.md","I20260523-007 机器学习因子评分与非线性组合","migrated_unverified","legacy_raw"
