"lit_id","status","category","title","authors","year","journal","url","file","related_rd_ids","created_at_utc","updated_at_utc","next_action"
"LIT-20260603T000000Z-mig-1999MOSKOWITZ83801","migrated_unverified","旧库迁移","L20260531-031 Do Industries Explain Momentum?","","","","","06_文献资料/08_已归档/LIT-20260603T000000Z-mig-1999MOSKOWITZ83801_L20260531-031DoIndustriesExplainMomentum.md","","2026-06-05T12:00:00Z","2026-06-05T12:00:00Z","复核来源、数据和可转化灵感"
"LIT-20260603T000000Z-mig-2001FLEMING73483","migrated_unverified","旧库迁移","L20260523-001 The Economic Value of Volatility Timing","","","","","06_文献资料/08_已归档/LIT-20260603T000000Z-mig-2001FLEMING73483_L20260523-001TheEconomicValueofVolatilityTiming.md","","2026-06-05T12:00:00Z","2026-06-05T12:00:00Z","复核来源、数据和可转化灵感"
"LIT-20260603T000000Z-mig-2002ANGBEKAERTF627B","migrated_unverified","旧库迁移","L20260522-003 International Asset Allocation With Regime Shifts","","","","","06_文献资料/08_已归档/LIT-20260603T000000Z-mig-2002ANGBEKAERTF627B_L20260522-003InternationalAssetAllocationWithRegimeShifts.md","","2026-06-05T12:00:00Z","2026-06-05T12:00:00Z","复核来源、数据和可转化灵感"
"LIT-20260603T000000Z-mig-2002CHORDIA822BF","migrated_unverified","旧库迁移","L20260522-004 Momentum, Business Cycle, and Time-Varying Expected Returns","","","","","06_文献资料/08_已归档/LIT-20260603T000000Z-mig-2002CHORDIA822BF_L20260522-004Momentum,BusinessCycle,andTime-VaryingExpectedR.md","","2026-06-05T12:00:00Z","2026-06-05T12:00:00Z","复核来源、数据和可转化灵感"
"LIT-20260603T000000Z-mig-2003PASTORSTAMBAUGHE1022","migrated_unverified","旧库迁移","L20260522-008 Liquidity Risk and Expected Stock Returns","","","","","06_文献资料/08_已归档/LIT-20260603T000000Z-mig-2003PASTORSTAMBAUGHE1022_L20260522-008LiquidityRiskandExpectedStockReturns.md","","2026-06-05T12:00:00Z","2026-06-05T12:00:00Z","复核来源、数据和可转化灵感"
"LIT-20260603T000000Z-mig-2004COOPERAF5D5","migrated_unverified","旧库迁移","L20260522-001 Market States and Momentum","","","","","06_文献资料/08_已归档/LIT-20260603T000000Z-mig-2004COOPERAF5D5_L20260522-001MarketStatesandMomentum.md","","2026-06-05T12:00:00Z","2026-06-05T12:00:00Z","复核来源、数据和可转化灵感"
"LIT-20260603T000000Z-mig-2008CAMPBELLTHOMPSON18E33","migrated_unverified","旧库迁移","L20260522-009 Predicting Excess Stock Returns Out of Sample","","","","","06_文献资料/08_已归档/LIT-20260603T000000Z-mig-2008CAMPBELLTHOMPSON18E33_L20260522-009PredictingExcessStockReturnsOutofSample.md","","2026-06-05T12:00:00Z","2026-06-05T12:00:00Z","复核来源、数据和可转化灵感"
"LIT-20260603T000000Z-mig-2009BOLLERSLEVC7471","migrated_unverified","旧库迁移","L20260523-003 Expected Stock Returns and Variance Risk Premia","","","","","06_文献资料/08_已归档/LIT-20260603T000000Z-mig-2009BOLLERSLEVC7471_L20260523-003ExpectedStockReturnsandVarianceRiskPremia.md","","2026-06-05T12:00:00Z","2026-06-05T12:00:00Z","复核来源、数据和可转化灵感"
"LIT-20260603T000000Z-mig-2009BRANDTFADD2","migrated_unverified","旧库迁移","L20260523-002 Parametric Portfolio Policies","","","","","06_文献资料/08_已归档/LIT-20260603T000000Z-mig-2009BRANDTFADD2_L20260523-002ParametricPortfolioPolicies.md","","2026-06-05T12:00:00Z","2026-06-05T12:00:00Z","复核来源、数据和可转化灵感"
"LIT-20260603T000000Z-mig-2009BRUNNERMEIER34AC5","migrated_unverified","旧库迁移","L20260531-032 Market Liquidity and Funding Liquidity","","","","","06_文献资料/08_已归档/LIT-20260603T000000Z-mig-2009BRUNNERMEIER34AC5_L20260531-032MarketLiquidityandFundingLiquidity.md","","2026-06-05T12:00:00Z","2026-06-05T12:00:00Z","复核来源、数据和可转化灵感"
"LIT-20260603T000000Z-mig-2009DEMIGUEL1N74F1B","migrated_unverified","旧库迁移","L20260521-009 Optimal Versus Naive Diversification","","","","","06_文献资料/08_已归档/LIT-20260603T000000Z-mig-2009DEMIGUEL1N74F1B_L20260521-009OptimalVersusNaiveDiversification.md","","2026-06-05T12:00:00Z","2026-06-05T12:00:00Z","复核来源、数据和可转化灵感"
"LIT-20260603T000000Z-mig-2010STIVERS7B73D","migrated_unverified","旧库迁移","L20260522-002 Cross-Sectional Return Dispersion and Time Variation in Value and Momentum Premiums","","","","","06_文献资料/08_已归档/LIT-20260603T000000Z-mig-2010STIVERS7B73D_L20260522-002Cross-SectionalReturnDispersionandTimeVariation.md","","2026-06-05T12:00:00Z","2026-06-05T12:00:00Z","复核来源、数据和可转化灵感"
"LIT-20260603T000000Z-mig-2012MOSKOWITZ9923F","migrated_unverified","旧库迁移","L20260521-001 Time Series Momentum","","","","","06_文献资料/08_已归档/LIT-20260603T000000Z-mig-2012MOSKOWITZ9923F_L20260521-001TimeSeriesMomentum.md","","2026-06-05T12:00:00Z","2026-06-05T12:00:00Z","复核来源、数据和可转化灵感"
"LIT-20260603T000000Z-mig-2012NOVYMARX6465D","migrated_unverified","旧库迁移","L20260531-002 Is Momentum Really Momentum?","","","","","06_文献资料/08_已归档/LIT-20260603T000000Z-mig-2012NOVYMARX6465D_L20260531-002IsMomentumReallyMomentum.md","","2026-06-05T12:00:00Z","2026-06-05T12:00:00Z","复核来源、数据和可转化灵感"
"LIT-20260603T000000Z-mig-2013ASNESSAE131","migrated_unverified","旧库迁移","L20260521-002 Value and Momentum Everywhere","","","","","06_文献资料/08_已归档/LIT-20260603T000000Z-mig-2013ASNESSAE131_L20260521-002ValueandMomentumEverywhere.md","","2026-06-05T12:00:00Z","2026-06-05T12:00:00Z","复核来源、数据和可转化灵感"
"LIT-20260603T000000Z-mig-2013NOVYMARXC7534","migrated_unverified","旧库迁移","L20260521-006 The Gross Profitability Premium","","","","","06_文献资料/08_已归档/LIT-20260603T000000Z-mig-2013NOVYMARXC7534_L20260521-006TheGrossProfitabilityPremium.md","","2026-06-05T12:00:00Z","2026-06-05T12:00:00Z","复核来源、数据和可转化灵感"
"LIT-20260603T000000Z-mig-2014DAFROGINTHEPANB412A","migrated_unverified","旧库迁移","L20260521-011 Frog in the Pan: Continuous Information and Momentum","","","","","06_文献资料/08_已归档/LIT-20260603T000000Z-mig-2014DAFROGINTHEPANB412A_L20260521-011FroginthePanContinuousInformationandMomentum.md","","2026-06-05T12:00:00Z","2026-06-05T12:00:00Z","复核来源、数据和可转化灵感"
"LIT-20260603T000000Z-mig-2014FRAZZINIPEDERSEN57070","migrated_unverified","旧库迁移","L20260521-008 Betting Against Beta","","","","","06_文献资料/08_已归档/LIT-20260603T000000Z-mig-2014FRAZZINIPEDERSEN57070_L20260521-008BettingAgainstBeta.md","","2026-06-05T12:00:00Z","2026-06-05T12:00:00Z","复核来源、数据和可转化灵感"
"LIT-20260603T000000Z-mig-2014KELLYJIANG35CAF","migrated_unverified","旧库迁移","L20260523-004 Tail Risk and Asset Prices","","","","","06_文献资料/08_已归档/LIT-20260603T000000Z-mig-2014KELLYJIANG35CAF_L20260523-004TailRiskandAssetPrices.md","","2026-06-05T12:00:00Z","2026-06-05T12:00:00Z","复核来源、数据和可转化灵感"
"LIT-20260603T000000Z-mig-2015BARROSO7DA3F","migrated_unverified","旧库迁移","L20260521-003 Momentum Has Its Moments","","","","","06_文献资料/08_已归档/LIT-20260603T000000Z-mig-2015BARROSO7DA3F_L20260521-003MomentumHasItsMoments.md","","2026-06-05T12:00:00Z","2026-06-05T12:00:00Z","复核来源、数据和可转化灵感"
"LIT-20260603T000000Z-mig-2015FAMAFRENCHEB2D5","migrated_unverified","旧库迁移","L20260521-007 A Five-Factor Asset Pricing Model","","","","","06_文献资料/08_已归档/LIT-20260603T000000Z-mig-2015FAMAFRENCHEB2D5_L20260521-007AFive-FactorAssetPricingModel.md","","2026-06-05T12:00:00Z","2026-06-05T12:00:00Z","复核来源、数据和可转化灵感"
"LIT-20260603T000000Z-mig-2015HOUXUEZHANGFB8FD","migrated_unverified","旧库迁移","L20260523-005 Digesting Anomalies","","","","","06_文献资料/08_已归档/LIT-20260603T000000Z-mig-2015HOUXUEZHANGFB8FD_L20260523-005DigestingAnomalies.md","","2026-06-05T12:00:00Z","2026-06-05T12:00:00Z","复核来源、数据和可转化灵感"
"LIT-20260603T000000Z-mig-2016BAKEREF23C","migrated_unverified","旧库迁移","L20260522-010 Measuring Economic Policy Uncertainty","","","","","06_文献资料/08_已归档/LIT-20260603T000000Z-mig-2016BAKEREF23C_L20260522-010MeasuringEconomicPolicyUncertainty.md","","2026-06-05T12:00:00Z","2026-06-05T12:00:00Z","复核来源、数据和可转化灵感"
"LIT-20260603T000000Z-mig-2016DANIEL20500","migrated_unverified","旧库迁移","L20260521-004 Momentum Crashes","","","","","06_文献资料/08_已归档/LIT-20260603T000000Z-mig-2016DANIEL20500_L20260521-004MomentumCrashes.md","","2026-06-05T12:00:00Z","2026-06-05T12:00:00Z","复核来源、数据和可转化灵感"
"LIT-20260603T000000Z-mig-2016HARVEY748E1","migrated_unverified","旧库迁移","L20260521-010 ... and the Cross-Section of Expected Returns","","","","","06_文献资料/08_已归档/LIT-20260603T000000Z-mig-2016HARVEY748E1_L20260521-010...andtheCross-SectionofExpectedReturns.md","","2026-06-05T12:00:00Z","2026-06-05T12:00:00Z","复核来源、数据和可转化灵感"
"LIT-20260603T000000Z-mig-2016MCLEANPONTIFFABAC9","migrated_unverified","旧库迁移","L20260523-006 Does Academic Research Destroy Stock Return Predictability?","","","","","06_文献资料/08_已归档/LIT-20260603T000000Z-mig-2016MCLEANPONTIFFABAC9_L20260523-006DoesAcademicResearchDestroyStockReturnPredictab.md","","2026-06-05T12:00:00Z","2026-06-05T12:00:00Z","复核来源、数据和可转化灵感"
"LIT-20260603T000000Z-mig-2017MOREIRAMUIR01619","migrated_unverified","旧库迁移","L20260521-005 Volatility-Managed Portfolios","","","","","06_文献资料/08_已归档/LIT-20260603T000000Z-mig-2017MOREIRAMUIR01619_L20260521-005Volatility-ManagedPortfolios.md","","2026-06-05T12:00:00Z","2026-06-05T12:00:00Z","复核来源、数据和可转化灵感"
"LIT-20260603T000000Z-mig-2018KOIJENCARRY3081A","migrated_unverified","旧库迁移","L20260523-007 Carry","","","","","06_文献资料/08_已归档/LIT-20260603T000000Z-mig-2018KOIJENCARRY3081A_L20260523-007Carry.md","","2026-06-05T12:00:00Z","2026-06-05T12:00:00Z","复核来源、数据和可转化灵感"
"LIT-20260603T000000Z-mig-2019ASNESSA3D2A","migrated_unverified","旧库迁移","L20260523-008 Quality Minus Junk","","","","","06_文献资料/08_已归档/LIT-20260603T000000Z-mig-2019ASNESSA3D2A_L20260523-008QualityMinusJunk.md","","2026-06-05T12:00:00Z","2026-06-05T12:00:00Z","复核来源、数据和可转化灵感"
"LIT-20260603T000000Z-mig-2019KELLYPRUITTSU46473","migrated_unverified","旧库迁移","L20260523-009 Characteristics are Covariances","","","","","06_文献资料/08_已归档/LIT-20260603T000000Z-mig-2019KELLYPRUITTSU46473_L20260523-009CharacteristicsareCovariances.md","","2026-06-05T12:00:00Z","2026-06-05T12:00:00Z","复核来源、数据和可转化灵感"
"LIT-20260603T000000Z-mig-2020FENGGIGLIOXIUD9945","migrated_unverified","旧库迁移","L20260523-011 Taming the Factor Zoo","","","","","06_文献资料/08_已归档/LIT-20260603T000000Z-mig-2020FENGGIGLIOXIUD9945_L20260523-011TamingtheFactorZoo.md","","2026-06-05T12:00:00Z","2026-06-05T12:00:00Z","复核来源、数据和可转化灵感"
"LIT-20260603T000000Z-mig-2020FREYBERGER6E658","migrated_unverified","旧库迁移","L20260523-012 Dissecting Characteristics Nonparametrically","","","","","06_文献资料/08_已归档/LIT-20260603T000000Z-mig-2020FREYBERGER6E658_L20260523-012DissectingCharacteristicsNonparametrically.md","","2026-06-05T12:00:00Z","2026-06-05T12:00:00Z","复核来源、数据和可转化灵感"
"LIT-20260603T000000Z-mig-2020GUKELLYXIU8F18B","migrated_unverified","旧库迁移","L20260523-010 Empirical Asset Pricing via Machine Learning","","","","","06_文献资料/08_已归档/LIT-20260603T000000Z-mig-2020GUKELLYXIU8F18B_L20260523-010EmpiricalAssetPricingviaMachineLearning.md","","2026-06-05T12:00:00Z","2026-06-05T12:00:00Z","复核来源、数据和可转化灵感"
"LIT-20260603T000000Z-mig-2023GOULDING07A86","migrated_unverified","旧库迁移","L20260531-001 Momentum Turning Points","","","","","06_文献资料/08_已归档/LIT-20260603T000000Z-mig-2023GOULDING07A86_L20260531-001MomentumTurningPoints.md","","2026-06-05T12:00:00Z","2026-06-05T12:00:00Z","复核来源、数据和可转化灵感"
"LIT-20260603T000000Z-mig-2025B260F","migrated_unverified","旧库迁移","L20260529-001 价量因子核心窗口涨停股应用","","","","","06_文献资料/08_已归档/LIT-20260603T000000Z-mig-2025B260F_L20260529-001价量因子核心窗口涨停股应用.md","","2026-06-05T12:00:00Z","2026-06-05T12:00:00Z","复核来源、数据和可转化灵感"
"LIT-20260603T000000Z-mig-2026YYH001V13V22282F","migrated_unverified","旧库迁移","L20260529-002 七星-动量v13-阴跌v2-五年2147%回撤15%","","","","","06_文献资料/08_已归档/LIT-20260603T000000Z-mig-2026YYH001V13V22282F_L20260529-002七星-动量v13-阴跌v2-五年2147%回撤15%.md","","2026-06-05T12:00:00Z","2026-06-05T12:00:00Z","复核来源、数据和可转化灵感"
"LIT-20260603T000000Z-mig-H8A191D9C8A191","migrated_unverified","旧库迁移","LYYYYMMDD-001 文献标题","","","","","06_文献资料/08_已归档/LIT-20260603T000000Z-mig-H8A191D9C8A191_LYYYYMMDD-001文献标题.md","","2026-06-05T12:00:00Z","2026-06-05T12:00:00Z","复核来源、数据和可转化灵感"
